tipoTitulo	tituloPrimario	tituloOriginal	anoInicio	anoFim	duracaoMinutos	generos
tvSeries	A.T.O.M.: Alpha Teens on Machines	A.T.O.M.: Alpha Teens on Machines	2005	2007	1248	Action,Animation
tvSeries	That Mitchell and Webb Look	That Mitchell and Webb Look	2006	2010	720	Comedy
movie	The Cloth Peddler	Arshin mal-alan	1917		420	Comedy,Drama
tvSeries	Back to the Floor	Back to the Floor	2002		360	Reality-TV
movie	Enterpol	Enterpol	2005		220	Action,Comedy
tvSeries	The Old Testament Scriptures	The Old Testament Scriptures	1958		210	Biography,Drama,History
movie	Confessions of a Dog	Pochi no kokuhaku	2006		195	Crime,Drama
tvSeries	Four Go Dating	Four Go Dating	2004		180	Reality-TV
tvSeries	Dragon Boys	Dragon Boys	2007		178	Crime,Drama
movie	Guru	Guru	2007		166	Biography,Drama,Musical
movie	Shabdavedi	Shabdavedi	2000		164	Crime
movie	The Free Will	Der freie Wille	2006		163	Crime,Drama
movie	Avatar	Avatar	2009		162	Action,Adventure,Fantasy
movie	Vivah	Vivah	2006		160	Drama,Family,Musical
movie	LoveDeath	LoveDeath	2006		158	Action
movie	Ghar Ka Chirag	Ghar Ka Chirag	1967		157	Drama
movie	What the Bleep!?: Down the Rabbit Hole	What the Bleep!?: Down the Rabbit Hole	2006		156	Documentary,Drama
movie	Ankahee	Ankahee	2006		151	Biography,Drama,Romance
movie	Sandai Kozhi	Sandai Kozhi	2005		151	Action
movie	Golmaal: Fun Unlimited	Golmaal: Fun Unlimited	2006		150	Action,Comedy,Drama
tvSeries	Poison Island	Poison Island	1965		150	Drama
movie	The Chronicles of Narnia: Prince Caspian	The Chronicles of Narnia: Prince Caspian	2008		150	Action,Adventure,Family
movie	Gunahon Ka Devta	Gunahon Ka Devta	1990		149	Action
movie	Den Wolken ein Stück näher	Den Wolken ein Stück näher	1973		146	Drama
movie	Bosta	Bosta	2005		142	Musical,War
movie	Letters from Iwo Jima	Letters from Iwo Jima	2006		141	Drama,History,War
movie	Billa No. 786	Billa No. 786	2000		140	Action
movie	VIMY: The Birth of a Nation	VIMY: The Birth of a Nation	1996		140	Documentary,War
movie	Nishane Bazi	Nishane Bazi	1989		139	Action,Adventure,Crime
movie	Zimatar	Zimatar	1982		138	Action,Adventure,Fantasy
movie	Fun: Can Be Dangerous Sometimes	Fun: Can Be Dangerous Sometimes	2005		138	Thriller
